"Video asset ID","Universal video ID","Page ID","Page name",Title,"Duration (sec)","Publish time","Custom labels","Data comment",Date,Reach,"3-second video views","1-minute video views","Seconds viewed","Average Seconds viewed","3-Second viewers","1-minute viewers","Reactions, Comments and Shares",Reactions,Comments,Shares,"3-second video views by top audience (F, 35-44)","3-second video views by top audience (F, 45-54)","3-second video views by top audience (F, 25-34)","3-second video views by top audience (F, 55-64)","3-second video views by top audience (M, 45-54)","3-second video views by top audience (M, 35-44)","3-second video views by top audience (M, 25-34)","3-second video views by top audience (F, 65+)","3-second video views by top audience (M, 55-64)","3-second video views by top audience (M, 65+)","3-second video views by top audience (M, 18-24)","3-second video views by top audience (F, 18-24)","3-second video views by country (Spain (ES))","3-second video views by country (Germany (DE))","3-second video views by country (Australia (AU))","3-second video views by country (United States (US))","3-second video views by country (Canada (CA))","3-second video views by country (Switzerland (CH))","3-second video views by country (Mexico (MX))","3-second video views by country (United Kingdom (GB))","3-second video views by country (Finland (FI))","3-second video views by country (Italy (IT))","3-second video views by country (Belgium (BE))","3-second video views by country (France (FR))","3-second video views by country (India (IN))","3-second video views by country (Romania (RO))","3-second video views by country (New Zealand (NZ))","3-second video views by country (Bulgaria (BG))","3-second video views by country (Norway (NO))","3-second video views by country (Denmark (DK))","3-second video views by country (Portugal (PT))","3-second video views by country (Indonesia (ID))","3-second video views by country (Japan (JP))","3-second video views by country (Ireland (IE))","3-second video views by country (Bolivia (BO))","3-second video views by country (Belarus (BY))","3-second video views by country (Netherlands (NL))","3-second video views by country (Honduras (HN))","3-second video views by country (Argentina (AR))","3-second video views by country (Hungary (HU))","3-second video views by country (Estonia (EE))","3-second video views by country (Malta (MT))","3-second video views by country (Sri Lanka (LK))","3-second video views by country (Greece (GR))","3-second video views by country (Guatemala (GT))","3-second video views by country (Austria (AT))","3-second video views by country (Slovakia (SK))","3-second video views by country (Sweden (SE))","3-second video views by country (Croatia (HR))","3-second video views by country (Poland (PL))","3-second video views by country (Serbia (RS))","3-second video views by country (Czech Republic (CZ))","3-second video views by country (South Africa (ZA))","3-second video views by country (Iraq (IQ))","3-second video views by country (Bahrain (BH))","3-second video views by country (Kosovo (XK))","3-second video views by country (Cyprus (CY))","3-second video views by country (New Caledonia (NC))","3-second video views by country (Turkey (TR))","3-second video views by country (French Polynesia (PF))","3-second video views by country (Pakistan (PK))","3-second video views by country (Bangladesh (BD))","3-second video views by country (Egypt (EG))","3-second video views by country (Latvia (LV))","3-second video views by country (Colombia (CO))","3-second video views by country (Slovenia (SI))","3-second video views by country (Costa Rica (CR))","3-second video views by country (Iceland (IS))","3-second video views by country (Ukraine (UA))","3-second video views by country (Uruguay (UY))","3-second video views by country (Thailand (TH))","3-second video views by country (Lithuania (LT))","3-second video views by country (Peru (PE))","3-second video views by country (Chile (CL))","3-second video views by country (Philippines (PH))","3-second video views by country (Paraguay (PY))","3-second video views by country (Georgia (GE))","3-second video views by country (Ecuador (EC))","3-second video views by country (Luxembourg (LU))","3-second video views by country (Venezuela (VE))","3-second video views by country (Puerto Rico (PR))","3-second video views by country (El Salvador (SV))","3-second video views by country (Nicaragua (NI))"
1799828477653444,,209323712464751,"Almaíso at Finca El Drago",,16,"05/30/2026 01:30",,,Lifetime,226,57,0,919.826,3.445,53,0,3,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939191172484979,,209323712464751,"Almaíso at Finca El Drago",,26,"05/27/2026 04:50",,,Lifetime,0,1,0,4.677,4.677,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979139274852335,,209323712464751,"Almaíso at Finca El Drago",,26,"05/27/2026 01:38",,,Lifetime,151,59,0,774.706,5.379,58,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867197019761801,,209323712464751,"Almaíso at Finca El Drago",,26,"05/27/2026 01:33",,,Lifetime,502,217,0,3114.38,6.266,215,0,4,4,0,0,33,40,14,30,22,15,18,10,10,12,2,5,40,2,5,64,4,1,6,7,,1,1,4,2,2,2,,1,2,,,,,4,,2,1,8,,1,,,,,1,,,1,,,1,1,,,,,,,,1,,,,13,,3,,,1,,,7,7,5,3,3,3,2,2,1,1,1
1325216353048607,,209323712464751,"Almaíso at Finca El Drago",,16,"05/21/2026 08:26",,,Lifetime,2,3,0,48.927,9.785,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339385631425315,,209323712464751,"Almaíso at Finca El Drago",,13,"05/14/2026 05:32",,,Lifetime,1,2,0,14.543,7.271,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517077018762467,,209323712464751,"Almaíso at Finca El Drago",,13,"05/13/2026 03:37",,,Lifetime,86,46,0,634.345,6.697,45,0,4,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941646208710939,,209323712464751,"Almaíso at Finca El Drago",,30,"05/09/2026 03:29",,,Lifetime,0,0,0,0.048,0.048,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4375723432702727,,209323712464751,"Almaíso at Finca El Drago",,30,"05/09/2026 03:01",,,Lifetime,257,105,0,1611.62,5.953,99,0,8,5,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025709888826741,,209323712464751,"Almaíso at Finca El Drago",,27,"05/02/2026 03:17",,,Lifetime,0,1,0,4.166,4.166,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27084976504491639,,209323712464751,"Almaíso at Finca El Drago",,27,"05/02/2026 03:15",,,Lifetime,277,88,0,1076.591,3.699,87,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756389812006629,,209323712464751,"Almaíso at Finca El Drago",,13,"04/28/2026 09:28",,,Lifetime,0,3,0,46.334,5.148,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502734327903756,,209323712464751,"Almaíso at Finca El Drago",,12,"04/28/2026 09:28",,,Lifetime,0,3,0,44.851,7.475,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1483723163126546,,209323712464751,"Almaíso at Finca El Drago",,5,"04/28/2026 09:28",,,Lifetime,0,16,0,209.029,5.359,14,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1258479552674972,,209323712464751,"Almaíso at Finca El Drago",,12,"04/28/2026 09:28",,,Lifetime,0,3,0,41.174,2.573,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941991085279654,,209323712464751,"Almaíso at Finca El Drago",,24,"04/28/2026 09:28",,,Lifetime,0,2,0,17.973,4.493,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032394687700772,,209323712464751,"Almaíso at Finca El Drago",,12,"04/28/2026 09:25",,,Lifetime,0,17,0,224.607,5.478,17,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1660515425096044,,209323712464751,"Almaíso at Finca El Drago",,24,"04/28/2026 09:25",,,Lifetime,0,6,0,49.959,4.995,6,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1636613444211405,,209323712464751,"Almaíso at Finca El Drago",,13,"04/28/2026 09:25",,,Lifetime,0,6,0,60.882,6.764,6,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1496557728775241,,209323712464751,"Almaíso at Finca El Drago",,12,"04/28/2026 09:25",,,Lifetime,0,7,0,68.099,5.238,7,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952574341008662,,209323712464751,"Almaíso at Finca El Drago",,5,"04/28/2026 09:25",,,Lifetime,0,40,0,507.158,4.528,33,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012702075996340,,209323712464751,"Almaíso at Finca El Drago",,35,"04/22/2026 06:29",,,Lifetime,1,0,0,1.656,1.656,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923857837143714,,209323712464751,"Almaíso at Finca El Drago",,35,"04/22/2026 04:00",,,Lifetime,380,158,0,2917.125,7.576,147,0,9,7,2,0,29,26,19,19,16,11,10,10,8,4,2,1,59,14,12,11,5,5,5,4,4,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4415196235384549,,209323712464751,"Almaíso at Finca El Drago",,59,"04/15/2026 10:18",,,Lifetime,1,0,0,0.616,0.616,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26327826346885920,,209323712464751,"Almaíso at Finca El Drago",,59,"04/15/2026 10:10",,,Lifetime,148,89,0,2726.037,16.91,78,0,3,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
