"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Replies,Navigation,"Profile visits","Link clicks","Sticker taps"
17899822515513358,17841462002176953,almaiso.tenerife,"Almaíso at Finca El Drago","Come discover how everything started! 🥰🥹",16,"07/31/2026 08:22",https://www.instagram.com/stories/almaiso.tenerife/3953478207806412137,"IG story",,Lifetime,109,78,2,0,0,86,,,
17937083277340072,17841462002176953,almaiso.tenerife,"Almaíso at Finca El Drago",,20,"07/30/2026 06:05",https://www.instagram.com/stories/almaiso.tenerife/3952684682013580925,"IG story",,Lifetime,101,73,1,0,0,90,,,6
17900400087519082,17841462002176953,almaiso.tenerife,"Almaíso at Finca El Drago",,10,"07/30/2026 06:05",https://www.instagram.com/stories/almaiso.tenerife/3952684449766634953,"IG story",,Lifetime,109,75,2,0,0,87,1,,8
18189054742349482,17841462002176953,almaiso.tenerife,"Almaíso at Finca El Drago",,20,"07/30/2026 06:05",https://www.instagram.com/stories/almaiso.tenerife/3952684348650309748,"IG story",,Lifetime,112,81,1,0,0,91,1,,4
18108091961014036,17841462002176953,almaiso.tenerife,"Almaíso at Finca El Drago",,23,"07/28/2026 05:44",https://www.instagram.com/stories/almaiso.tenerife/3951224355375080770,"IG story",,Lifetime,114,96,8,0,1,98,1,,
18092707709378395,17841462002176953,almaiso.tenerife,"Almaíso at Finca El Drago","Would you like to experience nature this closely?",8,"07/28/2026 03:15",https://www.instagram.com/stories/almaiso.tenerife/3951149468795030667,"IG story",,Lifetime,282,231,3,1,1,98,,3,
17898893733538562,17841462002176953,almaiso.tenerife,"Almaíso at Finca El Drago",,5,"07/28/2026 03:11",https://www.instagram.com/stories/almaiso.tenerife/3951147493739255974,"IG story",,Lifetime,125,104,3,0,0,100,,,
18109700371819538,17841462002176953,almaiso.tenerife,"Almaíso at Finca El Drago","🐝 quietly doing the work that keeps everything blooming 💛",16,"07/28/2026 03:08",https://www.instagram.com/stories/almaiso.tenerife/3951145728541244438,"IG story",,Lifetime,306,243,12,1,2,122,,,
17976107463083468,17841462002176953,almaiso.tenerife,"Almaíso at Finca El Drago","Every season brings its own shade of green.
This is Almaíso now 🥹",45,"07/28/2026 03:05",https://www.instagram.com/stories/almaiso.tenerife/3951144578622452098,"IG story",,Lifetime,478,360,17,2,2,137,1,,
18479030014104313,17841462002176953,almaiso.tenerife,"Almaíso at Finca El Drago",,0,"07/24/2026 07:30",https://www.instagram.com/stories/almaiso.tenerife/3948378737586523272,"IG story",,Lifetime,147,111,5,1,0,126,2,,
18169150621416021,17841462002176953,almaiso.tenerife,"Almaíso at Finca El Drago",,8,"07/23/2026 13:13",https://www.instagram.com/stories/almaiso.tenerife/3947826470742716622,"IG story",,Lifetime,152,84,5,0,0,106,2,,17
18419999950144296,17841462002176953,almaiso.tenerife,"Almaíso at Finca El Drago",,15,"07/22/2026 02:43",https://www.instagram.com/stories/almaiso.tenerife/3946784478214536097,"IG story",,Lifetime,116,91,5,1,0,76,1,,
18092524082525907,17841462002176953,almaiso.tenerife,"Almaíso at Finca El Drago",,27,"07/21/2026 02:09",https://www.instagram.com/stories/almaiso.tenerife/3946042706114940675,"IG story",,Lifetime,115,89,1,0,0,94,1,,
18111851419978985,17841462002176953,almaiso.tenerife,"Almaíso at Finca El Drago","This is what regeneration looks like.",25,"07/20/2026 07:00",https://www.instagram.com/stories/almaiso.tenerife/3945464562237361812,"IG story",,Lifetime,158,127,13,0,0,131,1,,
18110849851981636,17841462002176953,almaiso.tenerife,"Almaíso at Finca El Drago",,15,"07/17/2026 03:18",https://www.instagram.com/stories/almaiso.tenerife/3943178298246304647,"IG story",,Lifetime,109,84,2,0,0,96,,,
18032016920827871,17841462002176953,almaiso.tenerife,"Almaíso at Finca El Drago",,0,"07/17/2026 01:09",https://www.instagram.com/stories/almaiso.tenerife/3943113642009993755,"IG story",,Lifetime,133,100,3,0,0,92,2,,2
18450740323188212,17841462002176953,almaiso.tenerife,"Almaíso at Finca El Drago",,15,"07/16/2026 07:20",https://www.instagram.com/stories/almaiso.tenerife/3942575380343082728,"IG story",,Lifetime,148,129,5,0,0,140,3,,
17944423845254888,17841462002176953,almaiso.tenerife,"Almaíso at Finca El Drago",,15,"07/13/2026 01:51",https://www.instagram.com/stories/almaiso.tenerife/3940235466531452742,"IG story",,Lifetime,118,99,2,0,0,104,2,,
18105780517923642,17841462002176953,almaiso.tenerife,"Almaíso at Finca El Drago",,15,"07/12/2026 23:52",https://www.instagram.com/stories/almaiso.tenerife/3940175485685766139,"IG story",,Lifetime,135,120,1,0,0,107,1,,
18209172694349340,17841462002176953,almaiso.tenerife,"Almaíso at Finca El Drago",,24,"07/11/2026 02:32",https://www.instagram.com/stories/almaiso.tenerife/3938806462670742755,"IG story",,Lifetime,310,220,7,1,0,137,1,,
18332045614255853,17841462002176953,almaiso.tenerife,"Almaíso at Finca El Drago",,15,"07/10/2026 03:05",https://www.instagram.com/stories/almaiso.tenerife/3938098131665516814,"IG story",,Lifetime,160,124,0,0,0,143,,,
18108202154514654,17841462002176953,almaiso.tenerife,"Almaíso at Finca El Drago","We have 7 houses, each with its own size and character, holding up to 50 people in total.

Check our Story Highlights to meet our facilities and houses.",19,"07/08/2026 03:00",https://www.instagram.com/stories/almaiso.tenerife/3936646232432187354,"IG story",,Lifetime,152,109,3,0,0,128,4,,
18085522718405206,17841462002176953,almaiso.tenerife,"Almaíso at Finca El Drago","Not yet, but it’s coming.
A farm-to-table restaurant, built from what grows in Almaíso Verde 💚

We’ll announce it here on Instagram when it’s ready.",0,"07/08/2026 02:54",https://www.instagram.com/stories/almaiso.tenerife/3936643443706714941,"IG story",,Lifetime,158,118,2,0,0,125,,,
