"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,"Profile visits",Replies,Navigation,"Link clicks"
17879226441604873,17841462002176953,almaiso.tenerife,"Almaíso at Finca El Drago",@brahmakiyoga,60,"06/01/2026 01:47",https://www.instagram.com/stories/almaiso.tenerife/3909792340818025426,"IG story",,Lifetime,115,87,3,0,1,0,103,
18109878862987598,17841462002176953,almaiso.tenerife,"Almaíso at Finca El Drago",,0,"06/30/2026 02:12",https://www.instagram.com/stories/almaiso.tenerife/3930824012044917553,"IG story",,Lifetime,93,79,0,0,1,1,82,3
18103394669152247,17841462002176953,almaiso.tenerife,"Almaíso at Finca El Drago",,0,"06/30/2026 02:10",https://www.instagram.com/stories/almaiso.tenerife/3930822898289314187,"IG story",,Lifetime,96,82,0,0,,0,87,
17946085593240689,17841462002176953,almaiso.tenerife,"Almaíso at Finca El Drago",,0,"06/30/2026 02:10",https://www.instagram.com/stories/almaiso.tenerife/3930822896049601637,"IG story",,Lifetime,99,84,1,0,,0,91,
18025331330839931,17841462002176953,almaiso.tenerife,"Almaíso at Finca El Drago",,0,"06/30/2026 02:10",https://www.instagram.com/stories/almaiso.tenerife/3930822897081442755,"IG story",,Lifetime,96,85,0,0,,0,87,
18087393911120491,17841462002176953,almaiso.tenerife,"Almaíso at Finca El Drago",,0,"06/30/2026 02:10",https://www.instagram.com/stories/almaiso.tenerife/3930822728235502858,"IG story",,Lifetime,101,86,2,0,,0,90,
17952862881190104,17841462002176953,almaiso.tenerife,"Almaíso at Finca El Drago",,0,"06/30/2026 02:10",https://www.instagram.com/stories/almaiso.tenerife/3930822726792724245,"IG story",,Lifetime,103,88,1,0,,0,91,
17904142047446767,17841462002176953,almaiso.tenerife,"Almaíso at Finca El Drago",,0,"06/30/2026 02:10",https://www.instagram.com/stories/almaiso.tenerife/3930822725291152707,"IG story",,Lifetime,104,88,2,0,,0,92,
17981642060861158,17841462002176953,almaiso.tenerife,"Almaíso at Finca El Drago",,0,"06/30/2026 02:10",https://www.instagram.com/stories/almaiso.tenerife/3930822723730844044,"IG story",,Lifetime,109,89,0,0,1,0,99,
18120967513705681,17841462002176953,almaiso.tenerife,"Almaíso at Finca El Drago",,0,"06/30/2026 02:09",https://www.instagram.com/stories/almaiso.tenerife/3930822281508633089,"IG story",,Lifetime,119,93,1,0,,0,109,
17931985020344089,17841462002176953,almaiso.tenerife,"Almaíso at Finca El Drago",,0,"06/30/2026 02:09",https://www.instagram.com/stories/almaiso.tenerife/3930822278195168006,"IG story",,Lifetime,125,93,2,0,,0,114,
18419481457179459,17841462002176953,almaiso.tenerife,"Almaíso at Finca El Drago",,0,"06/30/2026 02:09",https://www.instagram.com/stories/almaiso.tenerife/3930822279864484735,"IG story",,Lifetime,125,97,1,0,1,1,109,
18094641074611581,17841462002176953,almaiso.tenerife,"Almaíso at Finca El Drago",,0,"06/30/2026 02:09",https://www.instagram.com/stories/almaiso.tenerife/3930822277591172210,"IG story",,Lifetime,116,98,2,0,,0,103,
